-112.574 -7.32747e-15 35 
-90.923 12.5 35 
-90.923 12.5 15 
-112.574 -7.32747e-15 15 

-112.574 -7.32747e-15 35 
-112.574 25 35 
-112.574 25 15 
-112.574 -7.32747e-15 15 

-112.574 -7.32747e-15 35 
-134.224 12.5 35 
-134.224 12.5 15 
-112.574 -7.32747e-15 15 

-112.574 -7.32747e-15 35 
-134.224 -12.5 35 
-134.224 -12.5 15 
-112.574 -7.32747e-15 15 

-112.574 -7.32747e-15 35 
-112.574 -25 35 
-112.574 -25 15 
-112.574 -7.32747e-15 15 

-112.574 -7.32747e-15 35 
-90.923 -12.5 35 
-90.923 -12.5 15 
-112.574 -7.32747e-15 15 

-112.574 -7.32747e-15 35 
-90.923 12.5 35 
-90.923 12.5 15 
-112.574 -7.32747e-15 15 

