170.711 70.7107 130 
213.137 113.137 130 
213.137 113.137 70 
170.711 70.7107 70 

170.711 70.7107 130 
155.182 128.666 130 
155.182 128.666 70 
170.711 70.7107 70 

170.711 70.7107 130 
112.755 86.2398 130 
112.755 86.2398 70 
170.711 70.7107 70 

170.711 70.7107 130 
128.284 28.2843 130 
128.284 28.2843 70 
170.711 70.7107 70 

170.711 70.7107 130 
186.24 12.7551 130 
186.24 12.7551 70 
170.711 70.7107 70 

170.711 70.7107 130 
228.666 55.1815 130 
228.666 55.1815 70 
170.711 70.7107 70 

170.711 70.7107 130 
213.137 113.137 130 
213.137 113.137 70 
170.711 70.7107 70 

