-155 -42.4264 35 
-176.651 -29.9264 35 
-176.651 -29.9264 15 
-155 -42.4264 15 

-155 -42.4264 35 
-176.651 -54.9264 35 
-176.651 -54.9264 15 
-155 -42.4264 15 

-155 -42.4264 35 
-155 -67.4264 35 
-155 -67.4264 15 
-155 -42.4264 15 

-155 -42.4264 35 
-133.349 -54.9264 35 
-133.349 -54.9264 15 
-155 -42.4264 15 

-155 -42.4264 35 
-133.349 -29.9264 35 
-133.349 -29.9264 15 
-155 -42.4264 15 

-155 -42.4264 35 
-155 -17.4264 35 
-155 -17.4264 15 
-155 -42.4264 15 

-155 -42.4264 35 
-176.651 -29.9264 35 
-176.651 -29.9264 15 
-155 -42.4264 15 

